Name,Count (cami2_sample1_abundance),Count (cami2_marine_sample1_abundance_jn05),Count (diff),Proportion_All(%) (cami2_sample1_abundance),Proportion_All(%) (cami2_marine_sample1_abundance_jn05),Proportion_All(%) (diff),Proportion_Classified(%) (cami2_sample1_abundance),Proportion_Classified(%) (cami2_marine_sample1_abundance_jn05),Proportion_Classified(%) (diff)
Acetivibrio thermocellus,82,80,-2,0.00499515,0,-0.00499515,0.0423928,0.04,-0.0023928
Acidobacteria bacterium Mor1,9,8,-1,0.000548249,0,-0.000548249,0.00465287,0,-0.00465287
Aciduliprofundum sp. MAR08-339,57,57,+0,0.00347224,0,-0.00347224,0.0294682,0.03,+0.0005318
Acinetobacter venetianus,125,128,+3,0.00761456,0.01,+0.00238544,0.0646232,0.07,+0.0053768
Actibacterium sp. EMB200-NS6,16,14,-2,0.000974664,0,-0.000974664,0.00827177,0.01,+0.00172823
Actinoalloteichus fjordicus,107,116,+9,0.00651807,0.01,+0.00348193,0.0553175,0.06,+0.0046825
Actinoalloteichus hymeniacidonis,8,6,-2,0.000487332,0,-0.000487332,0.00413588,0,-0.00413588
Actinoalloteichus sp. GBA129-24,82,78,-4,0.00499515,0,-0.00499515,0.0423928,0.04,-0.0023928
Aeromonas salmonicida,668,665,-3,0.0406922,0.04,-0.0006922,0.345346,0.34,-0.005346
Aeropyrum camini,5,6,+1,0.000304583,0,-0.000304583,0.00258493,0,-0.00258493
Aeropyrum pernix,31,29,-2,0.00188841,0,-0.00188841,0.0160266,0.01,-0.0060266
Agarivorans gilvus,17,19,+2,0.00103558,0,-0.00103558,0.00878875,0.01,+0.00121125
Agrococcus jejuensis,5,4,-1,0.000304583,0,-0.000304583,0.00258493,0,-0.00258493
Alcanivorax borkumensis,5,5,+0,0.000304583,0,-0.000304583,0.00258493,0,-0.00258493
Aliivibrio fischeri,878,826,-52,0.0534847,0.05,-0.0034847,0.453913,0.43,-0.023913
Aliivibrio salmonicida,2162,2160,-2,0.131702,0.13,-0.001702,1.11772,1.12,+0.00228
Aliivibrio wodanis,2978,3000,+22,0.181409,0.18,-0.001409,1.53958,1.55,+0.01042
Alloalcanivorax dieselolei,5,9,+4,0.000304583,0,-0.000304583,0.00258493,0,-0.00258493
Altererythrobacter epoxidivorans,59,63,+4,0.00359407,0,-0.00359407,0.0305021,0.03,-0.0005021
Altererythrobacter ishigakiensis,37,36,-1,0.00225391,0,-0.00225391,0.0191285,0.02,+0.0008715
Alteromonas australica,103,87,-16,0.0062744,0.01,+0.0037256,0.0532495,0.04,-0.0132495
Alteromonas macleodii,1705,1565,-140,0.103863,0.1,-0.003863,0.88146,0.81,-0.07146
Alteromonas mediterranea,21265,21506,+241,1.29539,1.31,+0.01461,10.9937,11.12,+0.1263
Alteromonas naphthalenivorans,74,66,-8,0.00450782,0,-0.00450782,0.0382569,0.03,-0.0082569
Alteromonas sp. Mex14,87,49,-38,0.00529974,0,-0.00529974,0.0449777,0.03,-0.0149777
Alteromonas sp. RW2A1,220,209,-11,0.0134016,0.01,-0.0034016,0.113737,0.11,-0.003737
Alteromonas stellipolaris,465,508,+43,0.0283262,0.03,+0.0016738,0.240398,0.26,+0.019602
Aquibium oceanicum,6,11,+5,0.000365499,0,-0.000365499,0.00310191,0.01,+0.00689809
Arcanobacterium phocae,3,2,-1,0.00018275,0,-0.00018275,0.00155096,0,-0.00155096
Archaeoglobus fulgidus,589,589,+0,0.0358798,0.04,+0.0041202,0.304504,0.3,-0.004504
