Name,Count (cami2_sample2_abundance),Count (cami2_marine_sample2_abundance_jn05),Count (diff),Proportion_All(%) (cami2_sample2_abundance),Proportion_All(%) (cami2_marine_sample2_abundance_jn05),Proportion_All(%) (diff),Proportion_Classified(%) (cami2_sample2_abundance),Proportion_Classified(%) (cami2_marine_sample2_abundance_jn05),Proportion_Classified(%) (diff)
Acetivibrio thermocellus,163,163,+0,0.00984141,0.01,+0.00015859,0.0870657,0.09,+0.0029343
Acidobacteria bacterium Mor1,199,199,+0,0.012015,0.01,-0.002015,0.106295,0.11,+0.003705
Aciduliprofundum sp. MAR08-339,122,122,+0,0.00736597,0.01,+0.00263403,0.0651657,0.07,+0.0048343
Acinetobacter venetianus,164,164,+0,0.00990179,0.01,+9.821e-05,0.0875998,0.09,+0.0024002
Actibacterium sp. EMB200-NS6,658,642,-16,0.0397279,0.04,+0.0002721,0.351468,0.34,-0.011468
Actinoalloteichus fjordicus,453,494,+41,0.0273507,0.03,+0.0026493,0.241968,0.26,+0.018032
Actinoalloteichus hymeniacidonis,121,113,-8,0.00730559,0.01,+0.00269441,0.0646316,0.06,-0.0046316
Actinoalloteichus sp. GBA129-24,439,405,-34,0.0265054,0.02,-0.0065054,0.23449,0.22,-0.01449
Aeromonas salmonicida,1251,1248,-3,0.0755313,0.08,+0.0044687,0.668216,0.67,+0.001784
Aeropyrum camini,8,9,+1,0.000483014,0,-0.000483014,0.00427316,0,-0.00427316
Aeropyrum pernix,14,10,-4,0.000845275,0,-0.000845275,0.00747803,0.01,+0.00252197
Agarivorans gilvus,203,200,-3,0.0122565,0.01,-0.0022565,0.108431,0.11,+0.001569
Agrococcus jejuensis,76,71,-5,0.00458863,0,-0.00458863,0.040595,0.04,-0.000595
Alcanivorax borkumensis,7,2,-5,0.000422637,0,-0.000422637,0.00373902,0,-0.00373902
Aliivibrio fischeri,612,565,-47,0.0369506,0.03,-0.0069506,0.326897,0.3,-0.026897
Aliivibrio salmonicida,1854,1842,-12,0.111939,0.11,-0.001939,0.990305,0.98,-0.010305
Aliivibrio wodanis,1693,1716,+23,0.102218,0.1,-0.002218,0.904308,0.92,+0.015692
Alloalcanivorax dieselolei,6,8,+2,0.000362261,0,-0.000362261,0.00320487,0,-0.00320487
Altererythrobacter epoxidivorans,22,27,+5,0.00132829,0,-0.00132829,0.0117512,0.01,-0.0017512
Altererythrobacter ishigakiensis,102,102,+0,0.00615843,0.01,+0.00384157,0.0544828,0.05,-0.0044828
Alteromonas australica,253,231,-22,0.0152753,0.01,-0.0052753,0.135139,0.12,-0.015139
Alteromonas macleodii,2252,2100,-152,0.135968,0.13,-0.005968,1.2029,1.12,-0.0829
Alteromonas mediterranea,22136,22399,+263,1.3365,1.35,+0.0135,11.8238,11.96,+0.1362
Alteromonas naphthalenivorans,241,227,-14,0.0145508,0.01,-0.0045508,0.128729,0.12,-0.008729
Alteromonas sp. Mex14,178,141,-37,0.0107471,0.01,-0.0007471,0.0950779,0.08,-0.0150779
Alteromonas sp. RW2A1,226,209,-17,0.0136452,0.01,-0.0036452,0.120717,0.11,-0.010717
Alteromonas stellipolaris,524,570,+46,0.0316374,0.03,-0.0016374,0.279892,0.3,+0.020108
Aquibium oceanicum,96,98,+2,0.00579617,0.01,+0.00420383,0.0512779,0.05,-0.0012779
Arcanobacterium phocae,44,43,-1,0.00265658,0,-0.00265658,0.0235024,0.02,-0.0035024
Archaeoglobus fulgidus,710,711,+1,0.0428675,0.04,-0.0028675,0.379243,0.38,+0.000757
Archaeoglobus profundus,2,1,-1,0.000120754,0,-0.000120754,0.00106829,0,-0.00106829
Archaeoglobus veneficus,1,1,+0,6.03768e-05,0,-6.03768e-05,0.000534145,0,-0.000534145
Arthrobacter sp. PAMC 25486,9,11,+2,0.000543391,0,-0.000543391,0.00480731,0.01,+0.00519269
Aurantiacibacter atlanticus,10,10,+0,0.000603768,0,-0.000603768,0.00534145,0.01,+0.00465855
Aurantiacibacter gangjinensis,133,135,+2,0.00803011,0.01,+0.00196989,0.0710413,0.07,-0.0010413
Bacillus infantis,281,281,+0,0.0169659,0.02,+0.0030341,0.150095,0.15,-9.5e-05
Bacillus safensis,433,429,-4,0.0261431,0.03,+0.0038569,0.231285,0.23,-0.001285
Bacillus sp. Pc3,81,71,-10,0.00489052,0,-0.00489052,0.0432658,0.04,-0.0032658
Bacillus velezensis,68,70,+2,0.00410562,0,-0.00410562,0.0363219,0.04,+0.0036781
Bacillus weihaiensis,14,11,-3,0.000845275,0,-0.000845275,0.00747803,0.01,+0.00252197
Bdellovibrio bacteriovorus,258,258,+0,0.0155772,0.02,+0.0044228,0.137809,0.14,+0.002191
Belliella baltica,113,113,+0,0.00682258,0.01,+0.00317742,0.0603584,0.06,-0.0003584
Bernardetia litoralis,1,3,+2,6.03768e-05,0,-6.03768e-05,0.000534145,0,-0.000534145
Brucella ceti,797,688,-109,0.0481203,0.04,-0.0081203,0.425714,0.37,-0.055714
Brucella pinnipedialis,411,501,+90,0.0248149,0.03,+0.0051851,0.219534,0.27,+0.050466
Brucella sp. 141012304,287,309,+22,0.0173281,0.02,+0.0026719,0.1533,0.17,+0.0167
Brumicola nitratireducens,239,235,-4,0.01443,0.01,-0.00443,0.127661,0.13,+0.002339
Caldithrix abyssi,270,270,+0,0.0163017,0.02,+0.0036983,0.144219,0.14,-0.004219
Campylobacter lari,12,16,+4,0.000724521,0,-0.000724521,0.00640974,0.01,+0.00359026
Campylobacter peloridis,103,103,+0,0.00621881,0.01,+0.00378119,0.055017,0.06,+0.004983
Candidatus Aciduliprofundum boonei,58,59,+1,0.00350185,0,-0.00350185,0.0309804,0.03,-0.0009804
Candidatus Aquiluna sp. UB-MaderosW2red,104,103,-1,0.00627918,0.01,+0.00372082,0.0555511,0.06,+0.0044489
Candidatus Atelocyanobacterium thalassae,32,33,+1,0.00193206,0,-0.00193206,0.0170926,0.02,+0.0029074
Candidatus Cenarchaeum symbiosum,1,1,+0,6.03768e-05,0,-6.03768e-05,0.000534145,0,-0.000534145
Candidatus Endolissoclinum faulkneri,1155,1153,-2,0.0697352,0.07,+0.0002648,0.616938,0.62,+0.003062
Candidatus Filomicrobium marinum,71,69,-2,0.00428675,0,-0.00428675,0.0379243,0.04,+0.0020757
Candidatus Izimoplasma sp. HR1,349,349,+0,0.0210715,0.02,-0.0010715,0.186417,0.19,+0.003583
Candidatus Nitrosopelagicus brevis,21,21,+0,0.00126791,0,-0.00126791,0.011217,0.01,-0.001217
Candidatus Nitrosopumilus koreensis,6,6,+0,0.000362261,0,-0.000362261,0.00320487,0,-0.00320487
Candidatus Nitrosopumilus sediminis,95,95,+0,0.00573579,0.01,+0.00426421,0.0507438,0.05,-0.0007438
Candidatus Pelagibacter sp. IMCC9063,1,1,+0,6.03768e-05,0,-6.03768e-05,0.000534145,0,-0.000534145
Candidatus Pseudothioglobus singularis,211,212,+1,0.0127395,0.01,-0.0027395,0.112705,0.11,-0.002705
Candidatus Ruthturnera calyptogenae,107,106,-1,0.00646031,0.01,+0.00353969,0.0571535,0.06,+0.0028465
Candidatus Thioglobus autotrophicus,1,1,+0,6.03768e-05,0,-6.03768e-05,0.000534145,0,-0.000534145
Candidatus Vesicomyidisocius calyptogenae,5,5,+0,0.000301884,0,-0.000301884,0.00267073,0,-0.00267073
Carnobacterium sp. 17-4,7,4,-3,0.000422637,0,-0.000422637,0.00373902,0,-0.00373902
Celeribacter indicus,403,412,+9,0.0243318,0.02,-0.0043318,0.215261,0.22,+0.004739
Celeribacter marinus,8,3,-5,0.000483014,0,-0.000483014,0.00427316,0,-0.00427316
Cellulophaga algicola,171,167,-4,0.0103244,0.01,-0.0003244,0.0913388,0.09,-0.0013388
Cellulophaga baltica,299,299,+0,0.0180527,0.02,+0.0019473,0.159709,0.16,+0.000291
Cellulophaga lytica,33,39,+6,0.00199243,0,-0.00199243,0.0176268,0.02,+0.0023732
Cereibacter sphaeroides,260,255,-5,0.015698,0.02,+0.004302,0.138878,0.14,+0.001122
Chlorobium phaeobacteroides,4,5,+1,0.000241507,0,-0.000241507,0.00213658,0,-0.00213658
Chlorobium phaeovibrioides,4,4,+0,0.000241507,0,-0.000241507,0.00213658,0,-0.00213658
Chloroherpeton thalassium,500,501,+1,0.0301884,0.03,-0.0001884,0.267073,0.27,+0.002927
Christiangramia forsetii,152,148,-4,0.00917727,0.01,+0.00082273,0.0811901,0.08,-0.0011901
Christiangramia salexigens,6,7,+1,0.000362261,0,-0.000362261,0.00320487,0,-0.00320487
Chromohalobacter israelensis,18,16,-2,0.00108678,0,-0.00108678,0.00961461,0.01,+0.00038539
Citromicrobium sp. JL477,20,15,-5,0.00120754,0,-0.00120754,0.0106829,0.01,-0.0006829
Clostridium botulinum,1053,1051,-2,0.0635767,0.06,-0.0035767,0.562455,0.56,-0.002455
Colwellia psychrerythraea,233,235,+2,0.0140678,0.01,-0.0040678,0.124456,0.13,+0.005544
Colwellia sp. MT41,376,372,-4,0.0227017,0.02,-0.0027017,0.200839,0.2,-0.000839
Colwellia sp. PAMC 20917,10,9,-1,0.000603768,0,-0.000603768,0.00534145,0,-0.00534145
Corallococcus macrosporus,6,5,-1,0.000362261,0,-0.000362261,0.00320487,0,-0.00320487
Corynebacterium marinum,3,5,+2,0.00018113,0,-0.00018113,0.00160244,0,-0.00160244
Corynebacterium maris,6,9,+3,0.000362261,0,-0.000362261,0.00320487,0,-0.00320487
Corynebacterium phocae,522,525,+3,0.0315167,0.03,-0.0015167,0.278824,0.28,+0.001176
Corynebacterium sphenisci,61,59,-2,0.00368298,0,-0.00368298,0.0325829,0.03,-0.0025829
Corynebacterium stationis,9,5,-4,0.000543391,0,-0.000543391,0.00480731,0,-0.00480731
Croceibacter atlanticus,3,2,-1,0.00018113,0,-0.00018113,0.00160244,0,-0.00160244
Croceibacterium atlanticum,14,15,+1,0.000845275,0,-0.000845275,0.00747803,0.01,+0.00252197
Croceicoccus naphthovorans,97,93,-4,0.00585655,0.01,+0.00414345,0.0518121,0.05,-0.0018121
