Name,Count (cami2_sample6_abundance),Count (cami2_marine_sample6_abundance_jn05),Count (diff),Proportion_All(%) (cami2_sample6_abundance),Proportion_All(%) (cami2_marine_sample6_abundance_jn05),Proportion_All(%) (diff),Proportion_Classified(%) (cami2_sample6_abundance),Proportion_Classified(%) (cami2_marine_sample6_abundance_jn05),Proportion_Classified(%) (diff)
Acetivibrio thermocellus,49,48,-1,0.00299744,0,-0.00299744,0.0238942,0.02,-0.0038942
Acidobacteria bacterium Mor1,196,197,+1,0.0119897,0.01,-0.0019897,0.0955767,0.1,+0.0044233
Aciduliprofundum sp. MAR08-339,1,1,+0,6.11721e-05,0,-6.11721e-05,0.000487636,0,-0.000487636
Acinetobacter venetianus,317,311,-6,0.0193916,0.02,+0.0006084,0.154581,0.15,-0.004581
Actibacterium sp. EMB200-NS6,89,86,-3,0.00544432,0.01,+0.00455568,0.0433996,0.04,-0.0033996
Actinoalloteichus fjordicus,145,155,+10,0.00886996,0.01,+0.00113004,0.0707072,0.08,+0.0092928
Actinoalloteichus hymeniacidonis,10,8,-2,0.000611721,0,-0.000611721,0.00487636,0,-0.00487636
Actinoalloteichus sp. GBA129-24,115,108,-7,0.0070348,0.01,+0.0029652,0.0560781,0.05,-0.0060781
Aeromonas salmonicida,287,284,-3,0.0175564,0.02,+0.0024436,0.139952,0.14,+4.8e-05
Aeropyrum camini,4,5,+1,0.000244689,0,-0.000244689,0.00195054,0,-0.00195054
Aeropyrum pernix,2,2,+0,0.000122344,0,-0.000122344,0.000975272,0,-0.000975272
Agarivorans gilvus,69,71,+2,0.00422088,0,-0.00422088,0.0336469,0.03,-0.0036469
Agrococcus jejuensis,5,2,-3,0.000305861,0,-0.000305861,0.00243818,0,-0.00243818
Alcanivorax borkumensis,10,10,+0,0.000611721,0,-0.000611721,0.00487636,0,-0.00487636
Aliivibrio fischeri,471,436,-35,0.0288121,0.03,+0.0011879,0.229677,0.21,-0.019677
Aliivibrio salmonicida,2030,2023,-7,0.124179,0.12,-0.004179,0.989901,0.99,+9.9e-05
Aliivibrio wodanis,1640,1655,+15,0.100322,0.1,-0.000322,0.799723,0.81,+0.010277
Alloalcanivorax dieselolei,5,5,+0,0.000305861,0,-0.000305861,0.00243818,0,-0.00243818
Altererythrobacter epoxidivorans,40,45,+5,0.00244689,0,-0.00244689,0.0195054,0.02,+0.0004946
Altererythrobacter ishigakiensis,3,2,-1,0.000183516,0,-0.000183516,0.00146291,0,-0.00146291
Alteromonas australica,717,697,-20,0.0438604,0.04,-0.0038604,0.349635,0.34,-0.009635
Alteromonas macleodii,2277,2090,-187,0.139289,0.13,-0.009289,1.11035,1.02,-0.09035
Alteromonas mediterranea,29412,29698,+286,1.7992,1.82,+0.0208,14.3423,14.48,+0.1377
Alteromonas naphthalenivorans,68,61,-7,0.00415971,0,-0.00415971,0.0331592,0.03,-0.0031592
Alteromonas sp. Mex14,181,152,-29,0.0110722,0.01,-0.0010722,0.0882621,0.07,-0.0182621
Alteromonas sp. RW2A1,335,307,-28,0.0204927,0.02,-0.0004927,0.163358,0.15,-0.013358
Alteromonas stellipolaris,203,249,+46,0.0124179,0.02,+0.0075821,0.0989901,0.12,+0.0210099
Aquibium oceanicum,182,191,+9,0.0111333,0.01,-0.0011333,0.0887498,0.09,+0.0012502
Arcanobacterium phocae,76,73,-3,0.00464908,0,-0.00464908,0.0370603,0.04,+0.0029397
Archaeoglobus fulgidus,520,520,+0,0.0318095,0.03,-0.0018095,0.253571,0.25,-0.003571
Archaeoglobus profundus,1,N/A,N/A,6.11721e-05,N/A,N/A,0.000487636,N/A,N/A
Archaeoglobus veneficus,48,48,+0,0.00293626,0,-0.00293626,0.0234065,0.02,-0.0034065
Arthrobacter sp. PAMC 25486,3,4,+1,0.000183516,0,-0.000183516,0.00146291,0,-0.00146291
Aurantiacibacter atlanticus,8,5,-3,0.000489377,0,-0.000489377,0.00390109,0,-0.00390109
Aurantiacibacter gangjinensis,91,92,+1,0.00556667,0.01,+0.00443333,0.0443749,0.04,-0.0043749
Bacillus infantis,105,105,+0,0.00642308,0.01,+0.00357692,0.0512018,0.05,-0.0012018
Bacillus safensis,95,93,-2,0.00581135,0.01,+0.00418865,0.0463254,0.05,+0.0036746
Bacillus sp. Pc3,47,41,-6,0.00287509,0,-0.00287509,0.0229189,0.02,-0.0029189
Bacillus velezensis,31,34,+3,0.00189634,0,-0.00189634,0.0151167,0.02,+0.0048833
Bacillus weihaiensis,15,14,-1,0.000917582,0,-0.000917582,0.00731454,0.01,+0.00268546
Bdellovibrio bacteriovorus,154,154,+0,0.00942051,0.01,+0.00057949,0.0750959,0.08,+0.0049041
Belliella baltica,121,120,-1,0.00740183,0.01,+0.00259817,0.059004,0.06,+0.000996
Bernardetia litoralis,5,5,+0,0.000305861,0,-0.000305861,0.00243818,0,-0.00243818
Brucella ceti,703,621,-82,0.043004,0.04,-0.003004,0.342808,0.3,-0.042808
Brucella pinnipedialis,368,454,+86,0.0225113,0.03,+0.0074887,0.17945,0.22,+0.04055
Brucella sp. 141012304,250,248,-2,0.015293,0.02,+0.004707,0.121909,0.12,-0.001909
Brumicola nitratireducens,314,310,-4,0.0192081,0.02,+0.0007919,0.153118,0.15,-0.003118
Caldithrix abyssi,324,324,+0,0.0198198,0.02,+0.0001802,0.157994,0.16,+0.002006
Campylobacter lari,20,23,+3,0.00122344,0,-0.00122344,0.00975272,0.01,+0.00024728
Campylobacter peloridis,43,41,-2,0.0026304,0,-0.0026304,0.0209683,0.02,-0.0009683
Candidatus Aciduliprofundum boonei,32,32,+0,0.00195751,0,-0.00195751,0.0156044,0.02,+0.0043956
Candidatus Aquiluna sp. UB-MaderosW2red,18,17,-1,0.0011011,0,-0.0011011,0.00877745,0.01,+0.00122255
Candidatus Atelocyanobacterium thalassae,18,17,-1,0.0011011,0,-0.0011011,0.00877745,0.01,+0.00122255
Candidatus Cenarchaeum symbiosum,2,1,-1,0.000122344,0,-0.000122344,0.000975272,0,-0.000975272
Candidatus Endolissoclinum faulkneri,653,653,+0,0.0399454,0.04,+5.46e-05,0.318426,0.32,+0.001574
