Name,Count (cami2_sample7_abundance),Count (cami2_marine_sample7_abundance_jn05),Count (diff),Proportion_All(%) (cami2_sample7_abundance),Proportion_All(%) (cami2_marine_sample7_abundance_jn05),Proportion_All(%) (diff),Proportion_Classified(%) (cami2_sample7_abundance),Proportion_Classified(%) (cami2_marine_sample7_abundance_jn05),Proportion_Classified(%) (diff)
Acetivibrio thermocellus,190,188,-2,0.011785,0.01,-0.001785,0.0953662,0.09,-0.0053662
Acidobacteria bacterium Mor1,10,9,-1,0.000620263,0,-0.000620263,0.00501927,0,-0.00501927
Acinetobacter venetianus,16,15,-1,0.00099242,0,-0.00099242,0.00803084,0.01,+0.00196916
Actibacterium sp. EMB200-NS6,86,84,-2,0.00533426,0.01,+0.00466574,0.0431658,0.04,-0.0031658
Actinoalloteichus fjordicus,173,194,+21,0.0107305,0.01,-0.0007305,0.0868334,0.1,+0.0131666
Actinoalloteichus hymeniacidonis,10,8,-2,0.000620263,0,-0.000620263,0.00501927,0,-0.00501927
Actinoalloteichus sp. GBA129-24,175,157,-18,0.0108546,0.01,-0.0008546,0.0878373,0.08,-0.0078373
Aeromonas salmonicida,325,322,-3,0.0201585,0.02,-0.0001585,0.163126,0.16,-0.003126
Aeropyrum camini,12,15,+3,0.000744315,0,-0.000744315,0.00602313,0.01,+0.00397687
Aeropyrum pernix,5,3,-2,0.000310131,0,-0.000310131,0.00250964,0,-0.00250964
Agarivorans gilvus,61,66,+5,0.0037836,0,-0.0037836,0.0306176,0.03,-0.0006176
Agrococcus jejuensis,6,5,-1,0.000372158,0,-0.000372158,0.00301156,0,-0.00301156
Alcanivorax borkumensis,48,48,+0,0.00297726,0,-0.00297726,0.0240925,0.02,-0.0040925
Aliivibrio fischeri,542,511,-31,0.0336182,0.03,-0.0036182,0.272045,0.26,-0.012045
Aliivibrio salmonicida,1743,1725,-18,0.108112,0.11,+0.001888,0.874859,0.87,-0.004859
Aliivibrio wodanis,1754,1776,+22,0.108794,0.11,+0.001206,0.880381,0.89,+0.009619
Alloalcanivorax dieselolei,11,11,+0,0.000682289,0,-0.000682289,0.0055212,0.01,+0.0044788
Altererythrobacter epoxidivorans,12,15,+3,0.000744315,0,-0.000744315,0.00602313,0.01,+0.00397687
Altererythrobacter ishigakiensis,30,30,+0,0.00186079,0,-0.00186079,0.0150578,0.02,+0.0049422
Alteromonas australica,290,254,-36,0.0179876,0.02,+0.0020124,0.145559,0.13,-0.015559
Alteromonas macleodii,3026,2760,-266,0.187692,0.17,-0.017692,1.51883,1.39,-0.12883
Alteromonas mediterranea,38994,39410,+416,2.41865,2.44,+0.02135,19.5722,19.78,+0.2078
Alteromonas naphthalenivorans,82,70,-12,0.00508615,0,-0.00508615,0.041158,0.04,-0.001158
Alteromonas sp. Mex14,208,150,-58,0.0129015,0.01,-0.0029015,0.104401,0.08,-0.024401
Alteromonas sp. RW2A1,880,835,-45,0.0545831,0.05,-0.0045831,0.441696,0.42,-0.021696
Alteromonas stellipolaris,502,558,+56,0.0311372,0.03,-0.0011372,0.251968,0.28,+0.028032
Aquibium oceanicum,93,99,+6,0.00576844,0.01,+0.00423156,0.0466792,0.05,+0.0033208
Arcanobacterium phocae,35,33,-2,0.00217092,0,-0.00217092,0.0175675,0.02,+0.0024325
Archaeoglobus fulgidus,345,344,-1,0.0213991,0.02,-0.0013991,0.173165,0.17,-0.003165
Archaeoglobus profundus,65,64,-1,0.00403171,0,-0.00403171,0.0326253,0.03,-0.0026253
Archaeoglobus veneficus,2,3,+1,0.000124053,0,-0.000124053,0.00100385,0,-0.00100385
Arthrobacter sp. PAMC 25486,10,13,+3,0.000620263,0,-0.000620263,0.00501927,0.01,+0.00498073
Aurantiacibacter atlanticus,4,3,-1,0.000248105,0,-0.000248105,0.00200771,0,-0.00200771
Aurantiacibacter gangjinensis,80,79,-1,0.0049621,0,-0.0049621,0.0401542,0.04,-0.0001542
Bacillus infantis,219,221,+2,0.0135838,0.01,-0.0035838,0.109922,0.11,+7.8e-05
Bacillus safensis,142,138,-4,0.00880773,0.01,+0.00119227,0.0712737,0.07,-0.0012737
Bacillus sp. Pc3,34,29,-5,0.00210889,0,-0.00210889,0.0170655,0.01,-0.0070655
Bacillus velezensis,76,80,+4,0.004714,0,-0.004714,0.0381465,0.04,+0.0018535
Bacillus weihaiensis,16,11,-5,0.00099242,0,-0.00099242,0.00803084,0.01,+0.00196916
Bdellovibrio bacteriovorus,2,2,+0,0.000124053,0,-0.000124053,0.00100385,0,-0.00100385
Belliella baltica,5,4,-1,0.000310131,0,-0.000310131,0.00250964,0,-0.00250964
Bernardetia litoralis,4,8,+4,0.000248105,0,-0.000248105,0.00200771,0,-0.00200771
Brucella ceti,592,506,-86,0.0367196,0.03,-0.0067196,0.297141,0.25,-0.047141
Brucella pinnipedialis,277,355,+78,0.0171813,0.02,+0.0028187,0.139034,0.18,+0.040966
Brucella sp. 141012304,177,187,+10,0.0109787,0.01,-0.0009787,0.0888412,0.09,+0.0011588
Brumicola nitratireducens,185,175,-10,0.0114749,0.01,-0.0014749,0.0928566,0.09,-0.0028566
Caldithrix abyssi,91,93,+2,0.00564439,0.01,+0.00435561,0.0456754,0.05,+0.0043246
Campylobacter lari,169,172,+3,0.0104824,0.01,-0.0004824,0.0848257,0.09,+0.0051743
Campylobacter peloridis,6,4,-2,0.000372158,0,-0.000372158,0.00301156,0,-0.00301156
Candidatus Aquiluna sp. UB-MaderosW2red,25,25,+0,0.00155066,0,-0.00155066,0.0125482,0.01,-0.0025482
Candidatus Atelocyanobacterium thalassae,26,26,+0,0.00161268,0,-0.00161268,0.0130501,0.01,-0.0030501
Candidatus Cenarchaeum symbiosum,1,N/A,N/A,6.20263e-05,N/A,N/A,0.000501927,N/A,N/A
Candidatus Endolissoclinum faulkneri,1144,1144,+0,0.0709581,0.07,-0.0009581,0.574205,0.57,-0.004205
Candidatus Filomicrobium marinum,3,4,+1,0.000186079,0,-0.000186079,0.00150578,0,-0.00150578
Candidatus Francisella endociliophora,38,38,+0,0.002357,0,-0.002357,0.0190732,0.02,+0.0009268
Candidatus Izimoplasma sp. HR1,307,308,+1,0.0190421,0.02,+0.0009579,0.154092,0.15,-0.004092
Candidatus Nitrosopelagicus brevis,16,16,+0,0.00099242,0,-0.00099242,0.00803084,0.01,+0.00196916
Candidatus Nitrosopumilus koreensis,18,18,+0,0.00111647,0,-0.00111647,0.00903469,0.01,+0.00096531
Candidatus Nitrosopumilus sediminis,190,191,+1,0.011785,0.01,-0.001785,0.0953662,0.1,+0.0046338
Candidatus Pelagibacter sp. IMCC9063,2,2,+0,0.000124053,0,-0.000124053,0.00100385,0,-0.00100385
Candidatus Pseudothioglobus singularis,78,78,+0,0.00483805,0,-0.00483805,0.0391503,0.04,+0.0008497
Candidatus Ruthturnera calyptogenae,4,4,+0,0.000248105,0,-0.000248105,0.00200771,0,-0.00200771
Candidatus Thioglobus autotrophicus,1,1,+0,6.20263e-05,0,-6.20263e-05,0.000501927,0,-0.000501927
Candidatus Vesicomyidisocius calyptogenae,14,17,+3,0.000868368,0,-0.000868368,0.00702698,0.01,+0.00297302
Carnobacterium sp. 17-4,6,3,-3,0.000372158,0,-0.000372158,0.00301156,0,-0.00301156
Celeribacter indicus,281,286,+5,0.0174294,0.02,+0.0025706,0.141042,0.14,-0.001042
Celeribacter marinus,5,3,-2,0.000310131,0,-0.000310131,0.00250964,0,-0.00250964
Cellulophaga algicola,77,72,-5,0.00477602,0,-0.00477602,0.0386484,0.04,+0.0013516
Cellulophaga baltica,823,823,+0,0.0510476,0.05,-0.0010476,0.413086,0.41,-0.003086
Cellulophaga lytica,155,162,+7,0.00961407,0.01,+0.00038593,0.0777987,0.08,+0.0022013
Cereibacter sphaeroides,64,59,-5,0.00396968,0,-0.00396968,0.0321234,0.03,-0.0021234
Chlorobium phaeobacteroides,4,4,+0,0.000248105,0,-0.000248105,0.00200771,0,-0.00200771
Chlorobium phaeovibrioides,1,N/A,N/A,6.20263e-05,N/A,N/A,0.000501927,N/A,N/A
Chloroherpeton thalassium,51,51,+0,0.00316334,0,-0.00316334,0.0255983,0.03,+0.0044017
Christiangramia forsetii,65,64,-1,0.00403171,0,-0.00403171,0.0326253,0.03,-0.0026253
Christiangramia salexigens,45,45,+0,0.00279118,0,-0.00279118,0.0225867,0.02,-0.0025867
Chromohalobacter israelensis,21,16,-5,0.00130255,0,-0.00130255,0.0105405,0.01,-0.0005405
Citromicrobium sp. JL477,15,14,-1,0.000930394,0,-0.000930394,0.00752891,0.01,+0.00247109
Clostridium botulinum,593,590,-3,0.0367816,0.04,+0.0032184,0.297643,0.3,+0.002357
Colwellia psychrerythraea,1676,1691,+15,0.103956,0.1,-0.003956,0.84123,0.85,+0.00877
Colwellia sp. MT41,427,414,-13,0.0264852,0.03,+0.0035148,0.214323,0.21,-0.004323
Colwellia sp. PAMC 20917,378,378,+0,0.0234459,0.02,-0.0034459,0.189729,0.19,+0.000271
Coraliomargarita akajimensis,2,1,-1,0.000124053,0,-0.000124053,0.00100385,0,-0.00100385
Corallococcus macrosporus,377,378,+1,0.0233839,0.02,-0.0033839,0.189227,0.19,+0.000773
Corynebacterium marinum,7,8,+1,0.000434184,0,-0.000434184,0.00351349,0,-0.00351349
Corynebacterium maris,4,6,+2,0.000248105,0,-0.000248105,0.00200771,0,-0.00200771
Corynebacterium phocae,456,460,+4,0.028284,0.03,+0.001716,0.228879,0.23,+0.001121
Corynebacterium sphenisci,4,3,-1,0.000248105,0,-0.000248105,0.00200771,0,-0.00200771
Corynebacterium stationis,51,46,-5,0.00316334,0,-0.00316334,0.0255983,0.02,-0.0055983
Croceibacter atlanticus,40,39,-1,0.00248105,0,-0.00248105,0.0200771,0.02,-7.71e-05
Croceibacterium atlanticum,15,15,+0,0.000930394,0,-0.000930394,0.00752891,0.01,+0.00247109
Croceicoccus naphthovorans,14,14,+0,0.000868368,0,-0.000868368,0.00702698,0.01,+0.00297302
Crocosphaera subtropica,2,2,+0,0.000124053,0,-0.000124053,0.00100385,0,-0.00100385
Cupriavidus malaysiensis,123,127,+4,0.00762923,0.01,+0.00237077,0.0617371,0.06,-0.0017371
Cyclobacterium amurskyense,8,9,+1,0.00049621,0,-0.00049621,0.00401542,0,-0.00401542
Cyclobacterium marinum,1,1,+0,6.20263e-05,0,-6.20263e-05,0.000501927,0,-0.000501927
Cycloclasticus sp. P1,2903,3159,+256,0.180062,0.2,+0.019938,1.4571,1.59,+0.1329
Cycloclasticus zancles,2851,2594,-257,0.176837,0.16,-0.016837,1.431,1.3,-0.131
Deferribacter desulfuricans,40,40,+0,0.00248105,0,-0.00248105,0.0200771,0.02,-7.71e-05
Denitrovibrio acetiphilus,52,50,-2,0.00322537,0,-0.00322537,0.0261002,0.03,+0.0038998
Desulfobacula toluolica,1274,1270,-4,0.0790215,0.08,+0.0009785,0.639456,0.64,+0.000544
Desulfocapsa sulfexigens,306,309,+3,0.01898,0.02,+0.00102,0.15359,0.16,+0.00641
Desulfococcus multivorans,625,625,+0,0.0387664,0.04,+0.0012336,0.313705,0.31,-0.003705
Desulfocurvibacter africanus,530,528,-2,0.0328739,0.03,-0.0028739,0.266022,0.27,+0.003978
Desulforamulus reducens,10,6,-4,0.000620263,0,-0.000620263,0.00501927,0,-0.00501927
Desulforapulum autotrophicum,1228,1228,+0,0.0761683,0.08,+0.0038317,0.616367,0.62,+0.003633
Desulfotalea psychrophila,1712,1697,-15,0.106189,0.11,+0.003811,0.8593,0.85,-0.0093
Dinoroseobacter shibae,334,328,-6,0.0207168,0.02,-0.0007168,0.167644,0.16,-0.007644
Dokdonia donghaensis,251,259,+8,0.0155686,0.02,+0.0044314,0.125984,0.13,+0.004016
Dokdonia sp. 4H-3-7-5,202,196,-6,0.0125293,0.01,-0.0025293,0.101389,0.1,-0.001389
