Name,Count (cami2_sample4_abundance),Count (cami2_marine_sample4_abundance_jn05),Count (diff),Proportion_All(%) (cami2_sample4_abundance),Proportion_All(%) (cami2_marine_sample4_abundance_jn05),Proportion_All(%) (diff),Proportion_Classified(%) (cami2_sample4_abundance),Proportion_Classified(%) (cami2_marine_sample4_abundance_jn05),Proportion_Classified(%) (diff)
Acetivibrio thermocellus,280,278,-2,0.0176598,0.02,+0.0023402,0.147173,0.15,+0.002827
Acidobacteria bacterium Mor1,5,6,+1,0.000315354,0,-0.000315354,0.00262809,0,-0.00262809
Acinetobacter venetianus,294,289,-5,0.0185428,0.02,+0.0014572,0.154532,0.15,-0.004532
Actibacterium sp. EMB200-NS6,116,110,-6,0.0073162,0.01,+0.0026838,0.0609718,0.06,-0.0009718
Actinoalloteichus fjordicus,8,11,+3,0.000504566,0,-0.000504566,0.00420495,0.01,+0.00579505
Actinoalloteichus hymeniacidonis,13,9,-4,0.000819919,0,-0.000819919,0.00683304,0,-0.00683304
Actinoalloteichus sp. GBA129-24,12,10,-2,0.000756849,0,-0.000756849,0.00630742,0.01,+0.00369258
Aeromonas salmonicida,255,253,-2,0.016083,0.02,+0.003917,0.134033,0.13,-0.004033
Aeropyrum camini,6,5,-1,0.000378424,0,-0.000378424,0.00315371,0,-0.00315371
Aeropyrum pernix,5,4,-1,0.000315354,0,-0.000315354,0.00262809,0,-0.00262809
Agarivorans gilvus,11,9,-2,0.000693778,0,-0.000693778,0.00578181,0,-0.00578181
Agrococcus jejuensis,6,4,-2,0.000378424,0,-0.000378424,0.00315371,0,-0.00315371
Alcanivorax borkumensis,36,32,-4,0.00227055,0,-0.00227055,0.0189223,0.02,+0.0010777
Aliivibrio fischeri,402,364,-38,0.0253544,0.02,-0.0053544,0.211299,0.19,-0.021299
Aliivibrio salmonicida,1703,1689,-14,0.107409,0.11,+0.002591,0.895129,0.89,-0.005129
Aliivibrio wodanis,2170,2200,+30,0.136863,0.14,+0.003137,1.14059,1.16,+0.01941
Alloalcanivorax dieselolei,1,3,+2,6.30707e-05,0,-6.30707e-05,0.000525619,0,-0.000525619
Altererythrobacter epoxidivorans,35,38,+3,0.00220747,0,-0.00220747,0.0183967,0.02,+0.0016033
Altererythrobacter ishigakiensis,36,36,+0,0.00227055,0,-0.00227055,0.0189223,0.02,+0.0010777
Alteromonas australica,373,328,-45,0.0235254,0.02,-0.0035254,0.196056,0.17,-0.026056
Alteromonas macleodii,8157,7818,-339,0.514468,0.49,-0.024468,4.28747,4.11,-0.17747
Alteromonas mediterranea,33553,34111,+558,2.11621,2.15,+0.03379,17.6361,17.93,+0.2939
Alteromonas naphthalenivorans,81,68,-13,0.00510873,0,-0.00510873,0.0425751,0.04,-0.0025751
Alteromonas sp. Mex14,337,255,-82,0.0212548,0.02,-0.0012548,0.177133,0.13,-0.047133
Alteromonas sp. RW2A1,689,652,-37,0.0434557,0.04,-0.0034557,0.362151,0.34,-0.022151
Alteromonas stellipolaris,201,251,+50,0.0126772,0.02,+0.0073228,0.105649,0.13,+0.024351
Aquibium oceanicum,103,108,+5,0.00649628,0.01,+0.00350372,0.0541387,0.06,+0.0058613
Arcanobacterium phocae,3,2,-1,0.000189212,0,-0.000189212,0.00157686,0,-0.00157686
Archaeoglobus fulgidus,960,961,+1,0.0605479,0.06,-0.0005479,0.504594,0.51,+0.005406
Archaeoglobus profundus,1,1,+0,6.30707e-05,0,-6.30707e-05,0.000525619,0,-0.000525619
Arthrobacter sp. PAMC 25486,10,9,-1,0.000630707,0,-0.000630707,0.00525619,0,-0.00525619
Aurantiacibacter atlanticus,91,90,-1,0.00573943,0.01,+0.00426057,0.0478313,0.05,+0.0021687
Aurantiacibacter gangjinensis,2,2,+0,0.000126141,0,-0.000126141,0.00105124,0,-0.00105124
Bacillus infantis,179,178,-1,0.0112897,0.01,-0.0012897,0.0940857,0.09,-0.0040857
Bacillus safensis,70,71,+1,0.00441495,0,-0.00441495,0.0367933,0.04,+0.0032067
Bacillus sp. Pc3,49,41,-8,0.00309046,0,-0.00309046,0.0257553,0.02,-0.0057553
Bacillus velezensis,34,34,+0,0.0021444,0,-0.0021444,0.017871,0.02,+0.002129
Bacillus weihaiensis,13,16,+3,0.000819919,0,-0.000819919,0.00683304,0.01,+0.00316696
Bdellovibrio bacteriovorus,170,170,+0,0.010722,0.01,-0.000722,0.0893552,0.09,+0.0006448
Belliella baltica,117,117,+0,0.00737927,0.01,+0.00262073,0.0614974,0.06,-0.0014974
Bernardetia litoralis,86,86,+0,0.00542408,0.01,+0.00457592,0.0452032,0.05,+0.0047968
Brucella ceti,307,273,-34,0.0193627,0.02,+0.0006373,0.161365,0.14,-0.021365
Brucella pinnipedialis,147,174,+27,0.00927139,0.01,+0.00072861,0.0772659,0.09,+0.0127341
Brucella sp. 141012304,91,95,+4,0.00573943,0.01,+0.00426057,0.0478313,0.05,+0.0021687
Brumicola nitratireducens,291,287,-4,0.0183536,0.02,+0.0016464,0.152955,0.15,-0.002955
Campylobacter lari,8,14,+6,0.000504566,0,-0.000504566,0.00420495,0.01,+0.00579505
Campylobacter peloridis,68,69,+1,0.00428881,0,-0.00428881,0.0357421,0.04,+0.0042579
Candidatus Aciduliprofundum boonei,37,37,+0,0.00233362,0,-0.00233362,0.0194479,0.02,+0.0005521
Candidatus Aquiluna sp. UB-MaderosW2red,16,16,+0,0.00100913,0,-0.00100913,0.0084099,0.01,+0.0015901
Candidatus Atelocyanobacterium thalassae,76,76,+0,0.00479337,0,-0.00479337,0.039947,0.04,+5.3e-05
Candidatus Cenarchaeum symbiosum,52,52,+0,0.00327968,0,-0.00327968,0.0273322,0.03,+0.0026678
Candidatus Endolissoclinum faulkneri,919,918,-1,0.057962,0.06,+0.002038,0.483044,0.48,-0.003044
Candidatus Filomicrobium marinum,99,100,+1,0.006244,0.01,+0.003756,0.0520362,0.05,-0.0020362
Candidatus Francisella endociliophora,10,8,-2,0.000630707,0,-0.000630707,0.00525619,0,-0.00525619
Candidatus Izimoplasma sp. HR1,110,110,+0,0.00693778,0.01,+0.00306222,0.0578181,0.06,+0.0021819
Candidatus Nitrosopelagicus brevis,113,113,+0,0.00712699,0.01,+0.00287301,0.0593949,0.06,+0.0006051
Candidatus Nitrosopumilus koreensis,6,8,+2,0.000378424,0,-0.000378424,0.00315371,0,-0.00315371
Candidatus Nitrosopumilus sediminis,196,196,+0,0.0123619,0.01,-0.0023619,0.103021,0.1,-0.003021
Candidatus Pelagibacter sp. IMCC9063,2,2,+0,0.000126141,0,-0.000126141,0.00105124,0,-0.00105124
Candidatus Pseudothioglobus singularis,34,35,+1,0.0021444,0,-0.0021444,0.017871,0.02,+0.002129
Candidatus Ruthturnera calyptogenae,1,3,+2,6.30707e-05,0,-6.30707e-05,0.000525619,0,-0.000525619
Candidatus Thioglobus autotrophicus,1,1,+0,6.30707e-05,0,-6.30707e-05,0.000525619,0,-0.000525619
Candidatus Vesicomyidisocius calyptogenae,14,15,+1,0.00088299,0,-0.00088299,0.00735866,0.01,+0.00264134
Carnobacterium sp. 17-4,7,4,-3,0.000441495,0,-0.000441495,0.00367933,0,-0.00367933
Celeribacter indicus,13,17,+4,0.000819919,0,-0.000819919,0.00683304,0.01,+0.00316696
Celeribacter marinus,36,35,-1,0.00227055,0,-0.00227055,0.0189223,0.02,+0.0010777
Cellulophaga algicola,100,93,-7,0.00630707,0.01,+0.00369293,0.0525619,0.05,-0.0025619
Cellulophaga baltica,680,681,+1,0.0428881,0.04,-0.0028881,0.357421,0.36,+0.002579
Cellulophaga lytica,333,336,+3,0.0210025,0.02,-0.0010025,0.175031,0.18,+0.004969
Cereibacter sphaeroides,69,67,-2,0.00435188,0,-0.00435188,0.0362677,0.04,+0.0037323
Chlorobium phaeobacteroides,6,5,-1,0.000378424,0,-0.000378424,0.00315371,0,-0.00315371
Chlorobium phaeovibrioides,1,1,+0,6.30707e-05,0,-6.30707e-05,0.000525619,0,-0.000525619
Chloroherpeton thalassium,216,216,+0,0.0136233,0.01,-0.0036233,0.113534,0.11,-0.003534
Christiangramia forsetii,4,1,-3,0.000252283,0,-0.000252283,0.00210247,0,-0.00210247
Christiangramia salexigens,7,6,-1,0.000441495,0,-0.000441495,0.00367933,0,-0.00367933
Chromohalobacter israelensis,16,13,-3,0.00100913,0,-0.00100913,0.0084099,0.01,+0.0015901
Citromicrobium sp. JL477,196,195,-1,0.0123619,0.01,-0.0023619,0.103021,0.1,-0.003021
Clostridium botulinum,854,852,-2,0.0538624,0.05,-0.0038624,0.448878,0.45,+0.001122
Colwellia psychrerythraea,74,76,+2,0.00466723,0,-0.00466723,0.0388958,0.04,+0.0011042
Colwellia sp. MT41,10,7,-3,0.000630707,0,-0.000630707,0.00525619,0,-0.00525619
Colwellia sp. PAMC 20917,8,11,+3,0.000504566,0,-0.000504566,0.00420495,0.01,+0.00579505
Coraliomargarita akajimensis,N/A,1,N/A,N/A,0,N/A,N/A,0,N/A
Corallococcus macrosporus,107,106,-1,0.00674857,0.01,+0.00325143,0.0562412,0.06,+0.0037588
Corynebacterium marinum,13,14,+1,0.000819919,0,-0.000819919,0.00683304,0.01,+0.00316696
Corynebacterium maris,38,43,+5,0.00239669,0,-0.00239669,0.0199735,0.02,+2.65e-05
Corynebacterium phocae,239,240,+1,0.0150739,0.02,+0.0049261,0.125623,0.13,+0.004377
Corynebacterium sphenisci,11,6,-5,0.000693778,0,-0.000693778,0.00578181,0,-0.00578181
Corynebacterium stationis,61,61,+0,0.00384731,0,-0.00384731,0.0320627,0.03,-0.0020627
Croceibacter atlanticus,37,36,-1,0.00233362,0,-0.00233362,0.0194479,0.02,+0.0005521
Croceibacterium atlanticum,8,8,+0,0.000504566,0,-0.000504566,0.00420495,0,-0.00420495
Croceicoccus naphthovorans,26,19,-7,0.00163984,0,-0.00163984,0.0136661,0.01,-0.0036661
Cupriavidus malaysiensis,189,196,+7,0.0119204,0.01,-0.0019204,0.0993419,0.1,+0.0006581
Cyclobacterium amurskyense,183,185,+2,0.0115419,0.01,-0.0015419,0.0961882,0.1,+0.0038118
Cyclobacterium marinum,11,9,-2,0.000693778,0,-0.000693778,0.00578181,0,-0.00578181
Cycloclasticus sp. P1,2947,3246,+299,0.185869,0.2,+0.014131,1.549,1.71,+0.161
Cycloclasticus zancles,3663,3362,-301,0.231028,0.21,-0.021028,1.92534,1.77,-0.15534
Deferribacter desulfuricans,43,42,-1,0.00271204,0,-0.00271204,0.0226016,0.02,-0.0026016
Denitrovibrio acetiphilus,46,46,+0,0.00290125,0,-0.00290125,0.0241785,0.02,-0.0041785
Desulfobacula toluolica,1564,1560,-4,0.0986426,0.1,+0.0013574,0.822068,0.82,-0.002068
Desulfocapsa sulfexigens,165,169,+4,0.0104067,0.01,-0.0004067,0.0867271,0.09,+0.0032729
Desulfococcus multivorans,575,577,+2,0.0362657,0.04,+0.0037343,0.302231,0.3,-0.002231
Desulfocurvibacter africanus,483,485,+2,0.0304632,0.03,-0.0004632,0.253874,0.25,-0.003874
Desulforamulus reducens,5,4,-1,0.000315354,0,-0.000315354,0.00262809,0,-0.00262809
Desulforapulum autotrophicum,221,222,+1,0.0139386,0.01,-0.0039386,0.116162,0.12,+0.003838
Desulfotalea psychrophila,320,318,-2,0.0201826,0.02,-0.0001826,0.168198,0.17,+0.001802
Desulfurobacterium thermolithotrophum,3,2,-1,0.000189212,0,-0.000189212,0.00157686,0,-0.00157686
Dinoroseobacter shibae,119,114,-5,0.00750541,0.01,+0.00249459,0.0625486,0.06,-0.0025486
Dokdonia donghaensis,104,105,+1,0.00655935,0.01,+0.00344065,0.0546643,0.06,+0.0053357
Dokdonia sp. 4H-3-7-5,804,801,-3,0.0507089,0.05,-0.0007089,0.422597,0.42,-0.002597
Dokdonia sp. MED134,117,104,-13,0.00737927,0.01,+0.00262073,0.0614974,0.05,-0.0114974
Dokdonia sp. PRO95,104,116,+12,0.00655935,0.01,+0.00344065,0.0546643,0.06,+0.0053357
Draconibacterium orientale,121,121,+0,0.00763156,0.01,+0.00236844,0.0635999,0.06,-0.0035999
Echinicola vietnamensis,4,3,-1,0.000252283,0,-0.000252283,0.00210247,0,-0.00210247
Edwardsiella anguillarum,55,51,-4,0.00346889,0,-0.00346889,0.028909,0.03,+0.001091
Edwardsiella piscicida,303,316,+13,0.0191104,0.02,+0.0008896,0.159262,0.17,+0.010738
Erythrobacter litoralis,981,993,+12,0.0618724,0.06,-0.0018724,0.515632,0.52,+0.004368
Ferrimonas balearica,6,5,-1,0.000378424,0,-0.000378424,0.00315371,0,-0.00315371
Fervidobacterium pennivorans,2,2,+0,0.000126141,0,-0.000126141,0.00105124,0,-0.00105124
Fibrella aestuarina,4,4,+0,0.000252283,0,-0.000252283,0.00210247,0,-0.00210247
Flagellimonas lutaonensis,3,3,+0,0.000189212,0,-0.000189212,0.00157686,0,-0.00157686
Flagellimonas ruestringensis,212,213,+1,0.013371,0.01,-0.003371,0.111431,0.11,-0.001431
Flammeovirga sp. MY04,5390,5407,+17,0.339951,0.34,+4.9e-05,2.83308,2.84,+0.00692
Flavobacteriaceae bacterium MAR_2010_188,54,55,+1,0.00340582,0,-0.00340582,0.0283834,0.03,+0.0016166
Flavobacteriaceae bacterium UJ101,316,315,-1,0.0199303,0.02,+6.97e-05,0.166095,0.17,+0.003905
Flavobacterium crassostreae,17,11,-6,0.0010722,0,-0.0010722,0.00893552,0.01,+0.00106448
Flavobacterium psychrophilum,3573,3589,+16,0.225352,0.23,+0.004648,1.87804,1.89,+0.01196
Flexistipes sinusarabici,51,52,+1,0.00321661,0,-0.00321661,0.0268066,0.03,+0.0031934
Formosa agariphila,12,11,-1,0.000756849,0,-0.000756849,0.00630742,0.01,+0.00369258
Formosa haliotis,15,18,+3,0.000946061,0,-0.000946061,0.00788428,0.01,+0.00211572
Formosa sp. Hel1_33_131,30,30,+0,0.00189212,0,-0.00189212,0.0157686,0.02,+0.0042314
Formosa sp. Hel3_A1_48,73,75,+2,0.00460416,0,-0.00460416,0.0383702,0.04,+0.0016298
Francisella orientalis,24,26,+2,0.0015137,0,-0.0015137,0.0126148,0.01,-0.0026148
Francisella uliginis,33,30,-3,0.00208133,0,-0.00208133,0.0173454,0.02,+0.0026546
Geobacillus kaustophilus,7,7,+0,0.000441495,0,-0.000441495,0.00367933,0,-0.00367933
