Name,Count (cami2_sample8_abundance),Count (cami2_marine_sample8_abundance_jn05),Count (diff),Proportion_All(%) (cami2_sample8_abundance),Proportion_All(%) (cami2_marine_sample8_abundance_jn05),Proportion_All(%) (diff),Proportion_Classified(%) (cami2_sample8_abundance),Proportion_Classified(%) (cami2_marine_sample8_abundance_jn05),Proportion_Classified(%) (diff)
Acetivibrio thermocellus,5,4,-1,0.000305354,0,-0.000305354,0.00252502,0,-0.00252502
Acidobacteria bacterium Mor1,133,133,+0,0.00812242,0.01,+0.00187758,0.0671656,0.07,+0.0028344
Aciduliprofundum sp. MAR08-339,21,21,+0,0.00128249,0,-0.00128249,0.0106051,0.01,-0.0006051
Acinetobacter venetianus,220,218,-2,0.0134356,0.01,-0.0034356,0.111101,0.11,-0.001101
Actibacterium sp. EMB200-NS6,247,241,-6,0.0150845,0.01,-0.0050845,0.124736,0.12,-0.004736
Actinoalloteichus fjordicus,52,60,+8,0.00317568,0,-0.00317568,0.0262602,0.03,+0.0037398
Actinoalloteichus hymeniacidonis,62,61,-1,0.00378639,0,-0.00378639,0.0313103,0.03,-0.0013103
Actinoalloteichus sp. GBA129-24,51,45,-6,0.00311461,0,-0.00311461,0.0257552,0.02,-0.0057552
Aeromonas salmonicida,1125,1124,-1,0.0687047,0.07,+0.0012953,0.56813,0.57,+0.00187
Aeropyrum camini,8,10,+2,0.000488567,0,-0.000488567,0.00404004,0.01,+0.00595996
Aeropyrum pernix,44,43,-1,0.00268712,0,-0.00268712,0.0222202,0.02,-0.0022202
Agarivorans gilvus,92,92,+0,0.00561852,0.01,+0.00438148,0.0464604,0.05,+0.0035396
Agrococcus jejuensis,3,1,-2,0.000183212,0,-0.000183212,0.00151501,0,-0.00151501
Alcanivorax borkumensis,38,35,-3,0.00232069,0,-0.00232069,0.0191902,0.02,+0.0008098
Aliivibrio fischeri,416,377,-39,0.0254055,0.02,-0.0054055,0.210082,0.19,-0.020082
Aliivibrio salmonicida,971,969,-2,0.0592998,0.06,+0.0007002,0.490359,0.49,-0.000359
Aliivibrio wodanis,1539,1563,+24,0.093988,0.1,+0.006012,0.777202,0.79,+0.012798
Alloalcanivorax dieselolei,8,9,+1,0.000488567,0,-0.000488567,0.00404004,0,-0.00404004
Altererythrobacter epoxidivorans,111,115,+4,0.00677886,0.01,+0.00322114,0.0560555,0.06,+0.0039445
Altererythrobacter ishigakiensis,34,33,-1,0.00207641,0,-0.00207641,0.0171702,0.02,+0.0028298
Alteromonas australica,262,227,-35,0.0160006,0.01,-0.0060006,0.132311,0.11,-0.022311
Alteromonas macleodii,1736,1533,-203,0.106019,0.09,-0.016019,0.876688,0.77,-0.106688
Alteromonas mediterranea,38241,38573,+332,2.33541,2.36,+0.02459,19.3119,19.48,+0.1681
Alteromonas naphthalenivorans,114,93,-21,0.00696207,0.01,+0.00303793,0.0575705,0.05,-0.0075705
Alteromonas sp. Mex14,146,94,-52,0.00891634,0.01,+0.00108366,0.0737307,0.05,-0.0237307
Alteromonas sp. RW2A1,428,406,-22,0.0261383,0.02,-0.0061383,0.216142,0.21,-0.006142
Alteromonas stellipolaris,1071,1131,+60,0.0654069,0.07,+0.0045931,0.54086,0.57,+0.02914
Aquibium oceanicum,49,59,+10,0.00299247,0,-0.00299247,0.0247452,0.03,+0.0052548
Arcanobacterium phocae,71,70,-1,0.00433603,0,-0.00433603,0.0358553,0.04,+0.0041447
Archaeoglobus fulgidus,476,477,+1,0.0290697,0.03,+0.0009303,0.240382,0.24,-0.000382
Archaeoglobus profundus,60,60,+0,0.00366425,0,-0.00366425,0.0303003,0.03,-0.0003003
Arthrobacter sp. PAMC 25486,125,124,-1,0.00763385,0.01,+0.00236615,0.0631256,0.06,-0.0031256
Aurantiacibacter atlanticus,7,7,+0,0.000427496,0,-0.000427496,0.00353503,0,-0.00353503
Aurantiacibacter gangjinensis,8,6,-2,0.000488567,0,-0.000488567,0.00404004,0,-0.00404004
Bacillus infantis,489,487,-2,0.0298636,0.03,+0.0001364,0.246947,0.25,+0.003053
Bacillus safensis,292,291,-1,0.0178327,0.02,+0.0021673,0.147461,0.15,+0.002539
Bacillus sp. Pc3,44,35,-9,0.00268712,0,-0.00268712,0.0222202,0.02,-0.0022202
Bacillus velezensis,78,84,+6,0.00476352,0.01,+0.00523648,0.0393904,0.04,+0.0006096
Bacillus weihaiensis,13,10,-3,0.000793921,0,-0.000793921,0.00656506,0.01,+0.00343494
Bdellovibrio bacteriovorus,202,201,-1,0.0123363,0.01,-0.0023363,0.102011,0.1,-0.002011
Belliella baltica,54,53,-1,0.00329782,0,-0.00329782,0.0272702,0.03,+0.0027298
Bernardetia litoralis,203,203,+0,0.0123974,0.01,-0.0023974,0.102516,0.1,-0.002516
Brucella ceti,274,245,-29,0.0167334,0.01,-0.0067334,0.138371,0.12,-0.018371
Brucella pinnipedialis,129,157,+28,0.00787814,0.01,+0.00212186,0.0651456,0.08,+0.0148544
Brucella sp. 141012304,92,89,-3,0.00561852,0.01,+0.00438148,0.0464604,0.04,-0.0064604
Brumicola nitratireducens,478,475,-3,0.0291919,0.03,+0.0008081,0.241392,0.24,-0.001392
Caldithrix abyssi,182,183,+1,0.0111149,0.01,-0.0011149,0.0919108,0.09,-0.0019108
Campylobacter lari,49,53,+4,0.00299247,0,-0.00299247,0.0247452,0.03,+0.0052548
Campylobacter peloridis,116,116,+0,0.00708422,0.01,+0.00291578,0.0585805,0.06,+0.0014195
Candidatus Aquiluna sp. UB-MaderosW2red,53,52,-1,0.00323675,0,-0.00323675,0.0267652,0.03,+0.0032348
Candidatus Atelocyanobacterium thalassae,111,110,-1,0.00677886,0.01,+0.00322114,0.0560555,0.06,+0.0039445
Candidatus Cenarchaeum symbiosum,65,65,+0,0.0039696,0,-0.0039696,0.0328253,0.03,-0.0028253
Candidatus Endolissoclinum faulkneri,1037,1036,-1,0.0633304,0.06,-0.0033304,0.52369,0.52,-0.00369
Candidatus Filomicrobium marinum,37,37,+0,0.00225962,0,-0.00225962,0.0186852,0.02,+0.0013148
