Name,Count (cami2_sample5_abundance),Count (cami2_marine_sample5_abundance_jn05),Count (diff),Proportion_All(%) (cami2_sample5_abundance),Proportion_All(%) (cami2_marine_sample5_abundance_jn05),Proportion_All(%) (diff),Proportion_Classified(%) (cami2_sample5_abundance),Proportion_Classified(%) (cami2_marine_sample5_abundance_jn05),Proportion_Classified(%) (diff)
Acetivibrio thermocellus,250,252,+2,0.0153113,0.02,+0.0046887,0.12035,0.12,-0.00035
Acidobacteria bacterium Mor1,5,4,-1,0.000306225,0,-0.000306225,0.00240701,0,-0.00240701
Aciduliprofundum sp. MAR08-339,1,1,+0,6.1245e-05,0,-6.1245e-05,0.000481401,0,-0.000481401
Acinetobacter venetianus,140,135,-5,0.0085743,0.01,+0.0014257,0.0673961,0.06,-0.0073961
Actibacterium sp. EMB200-NS6,80,77,-3,0.0048996,0,-0.0048996,0.0385121,0.04,+0.0014879
Actinoalloteichus fjordicus,5,6,+1,0.000306225,0,-0.000306225,0.00240701,0,-0.00240701
Actinoalloteichus hymeniacidonis,121,118,-3,0.00741065,0.01,+0.00258935,0.0582495,0.06,+0.0017505
Actinoalloteichus sp. GBA129-24,7,8,+1,0.000428715,0,-0.000428715,0.00336981,0,-0.00336981
Aeromonas salmonicida,556,558,+2,0.0340522,0.03,-0.0040522,0.267659,0.27,+0.002341
Aeropyrum camini,3,3,+0,0.000183735,0,-0.000183735,0.0014442,0,-0.0014442
Aeropyrum pernix,4,4,+0,0.00024498,0,-0.00024498,0.0019256,0,-0.0019256
Agarivorans gilvus,66,66,+0,0.00404217,0,-0.00404217,0.0317725,0.03,-0.0017725
Agrococcus jejuensis,79,78,-1,0.00483836,0,-0.00483836,0.0380307,0.04,+0.0019693
Alcanivorax borkumensis,5,5,+0,0.000306225,0,-0.000306225,0.00240701,0,-0.00240701
Aliivibrio fischeri,344,319,-25,0.0210683,0.02,-0.0010683,0.165602,0.15,-0.015602
Aliivibrio salmonicida,2459,2454,-5,0.150601,0.15,-0.000601,1.18377,1.18,-0.00377
Aliivibrio wodanis,1336,1356,+20,0.0818233,0.08,-0.0018233,0.643152,0.65,+0.006848
