Name,Count (cami2_sample3_abundance),Count (cami2_marine_sample3_abundance_jn05),Count (diff),Proportion_All(%) (cami2_sample3_abundance),Proportion_All(%) (cami2_marine_sample3_abundance_jn05),Proportion_All(%) (diff),Proportion_Classified(%) (cami2_sample3_abundance),Proportion_Classified(%) (cami2_marine_sample3_abundance_jn05),Proportion_Classified(%) (diff)
Acetivibrio thermocellus,141,138,-3,0.00855427,0.01,+0.00144573,0.0759686,0.07,-0.0059686
Acidobacteria bacterium Mor1,5,5,+0,0.000303343,0,-0.000303343,0.00269392,0,-0.00269392
Aciduliprofundum sp. MAR08-339,67,67,+0,0.0040648,0,-0.0040648,0.0360986,0.04,+0.0039014
Acinetobacter venetianus,249,245,-4,0.0151065,0.01,-0.0051065,0.134157,0.13,-0.004157
Actibacterium sp. EMB200-NS6,242,236,-6,0.0146818,0.01,-0.0046818,0.130386,0.13,-0.000386
Actinoalloteichus fjordicus,371,414,+43,0.0225081,0.03,+0.0074919,0.199889,0.22,+0.020111
Actinoalloteichus hymeniacidonis,12,10,-2,0.000728023,0,-0.000728023,0.00646541,0.01,+0.00353459
Actinoalloteichus sp. GBA129-24,348,309,-39,0.0211127,0.02,-0.0011127,0.187497,0.17,-0.017497
Aeromonas salmonicida,672,668,-4,0.0407693,0.04,-0.0007693,0.362063,0.36,-0.002063
Aeropyrum camini,8,8,+0,0.000485349,0,-0.000485349,0.00431028,0,-0.00431028
Aeropyrum pernix,16,17,+1,0.000970698,0,-0.000970698,0.00862055,0.01,+0.00137945
Agarivorans gilvus,314,313,-1,0.0190499,0.02,+0.0009501,0.169178,0.17,+0.000822
Agrococcus jejuensis,50,47,-3,0.00303343,0,-0.00303343,0.0269392,0.03,+0.0030608
Alcanivorax borkumensis,41,37,-4,0.00248741,0,-0.00248741,0.0220902,0.02,-0.0020902
Aliivibrio fischeri,532,474,-58,0.0322757,0.03,-0.0022757,0.286633,0.26,-0.026633
Aliivibrio salmonicida,3708,3708,+0,0.224959,0.22,-0.004959,1.99781,2,+0.00219
Aliivibrio wodanis,1930,1978,+48,0.11709,0.12,+0.00291,1.03985,1.07,+0.03015
Alloalcanivorax dieselolei,67,67,+0,0.0040648,0,-0.0040648,0.0360986,0.04,+0.0039014
