Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Acetivibrio thermocellus,1515,cellular organisms;Bacillota;Clostridia;Acetivibrionales;Acetivibrionaceae;Acetivibrio,111,0.01,0.06
Acidobacteria bacterium Mor1,1660251,cellular organisms;Acidobacteriota;;;;,8,0.00,0.00
Aciduliprofundum sp. MAR08-339,673860,cellular organisms;Thermoplasmatota;;;;Candidatus Aciduliprofundum,19,0.00,0.01
Acinetobacter venetianus,52133,cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter,48,0.00,0.03
Actibacterium sp. EMB200-NS6,1609966,cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Actibacterium,276,0.02,0.15
Actinoalloteichus fjordicus,1612552,cellular organisms;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Actinoalloteichus,14,0.00,0.01
Actinoalloteichus hymeniacidonis,340345,cellular organisms;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Actinoalloteichus,4,0.00,0.00
Actinoalloteichus sp. GBA129-24,1612551,cellular organisms;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Actinoalloteichus,9,0.00,0.00
Aeromonas salmonicida,645,cellular organisms;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas,1039,0.06,0.57
Aeropyrum camini,229980,cellular organisms;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum,8,0.00,0.00
Aeropyrum pernix,56636,cellular organisms;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum,5,0.00,0.00
Agarivorans gilvus,680279,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Agarivorans,75,0.00,0.04
Agrococcus jejuensis,399736,cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Agrococcus,39,0.00,0.02
Alcanivorax borkumensis,59754,cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax,3,0.00,0.00
Aliivibrio fischeri,668,cellular organisms;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Aliivibrio,602,0.04,0.33
Aliivibrio salmonicida,40269,cellular organisms;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Aliivibrio,2296,0.14,1.26
Aliivibrio wodanis,80852,cellular organisms;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Aliivibrio,2278,0.14,1.25
Alloalcanivorax dieselolei,285091,cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alloalcanivorax,4,0.00,0.00
Altererythrobacter epoxidivorans,361183,cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter,12,0.00,0.01
Altererythrobacter ishigakiensis,476157,cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter,3,0.00,0.00
Alteromonas australica,589873,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,81,0.00,0.04
Alteromonas macleodii,28108,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,3155,0.19,1.73
Alteromonas mediterranea,314275,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,22048,1.34,12.12
Alteromonas naphthalenivorans,715451,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,43,0.00,0.02
Alteromonas sp. Mex14,1917157,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,83,0.01,0.05
Alteromonas sp. RW2A1,1917158,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,385,0.02,0.21
Alteromonas stellipolaris,233316,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,471,0.03,0.26
Aquibium oceanicum,1670800,cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Aquibium,74,0.00,0.04
Arcanobacterium phocae,131112,cellular organisms;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Arcanobacterium,24,0.00,0.01
Archaeoglobus fulgidus,2234,cellular organisms;Methanobacteriota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus,939,0.06,0.52
Archaeoglobus profundus,84156,cellular organisms;Methanobacteriota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus,1,0.00,0.00
Archaeoglobus veneficus,58290,cellular organisms;Methanobacteriota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus,2,0.00,0.00
Arthrobacter sp. PAMC 25486,1494608,cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Arthrobacter,7,0.00,0.00
Aurantiacibacter atlanticus,1648404,cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Aurantiacibacter,45,0.00,0.02
Aurantiacibacter gangjinensis,502682,cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Aurantiacibacter,41,0.00,0.02
